# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -b 2048 -M -d -v /dev/sr0 image.iso image.log
# Start time:   2015-10-29 09:44:54
# Current time: 2015-10-29 11:28:20
# Trimming failed blocks... (forwards)
# current_pos  current_status
0x6A311800     *
#      pos        size  status
0x00000000  0x00690000  +
0x00690000  0x00001000  -
0x00691000  0x0000E000  /
0x0069F000  0x00001000  -
0x006A0000  0x311F0000  +
0x31890000  0x00001000  -
0x31891000  0x00016000  /
0x318A7000  0x00001000  -
0x318A8000  0x002A0000  +
0x31B48000  0x00001000  -
0x31B49000  0x00016000  /
0x31B5F000  0x00001000  -
0x31B60000  0x37310000  +
0x68E70000  0x00001000  -
0x68E71000  0x00005800  /
0x68E76800  0x00001000  -
0x68E77800  0x0006B800  +
0x68EE3000  0x00001000  -
0x68EE4000  0x00003000  /
0x68EE7000  0x00001000  -
0x68EE8000  0x00010000  +
0x68EF8000  0x00001000  -
0x68EF9000  0x00005800  /
0x68EFE800  0x00001000  -
0x68EFF800  0x00010800  +
0x68F10000  0x00001000  -
0x68F11000  0x00006000  /
0x68F17000  0x00001000  -
0x68F18000  0x00028000  +
0x68F40000  0x00001000  -
0x68F41000  0x00006000  /
0x68F47000  0x00001000  -
0x68F48000  0x00010000  +
0x68F58000  0x00001000  -
0x68F59000  0x00005800  /
0x68F5E800  0x00001000  -
0x68F5F800  0x00010800  +
0x68F70000  0x00001000  -
0x68F71000  0x00006000  /
0x68F77000  0x00001000  -
0x68F78000  0x00025000  +
0x68F9D000  0x00001000  -
0x68F9E000  0x00000800  /
0x68F9E800  0x00001000  -
0x68F9F800  0x00010800  +
0x68FB0000  0x00001000  -
0x68FB1000  0x00006000  /
0x68FB7000  0x00001000  -
0x68FB8000  0x00010000  +
0x68FC8000  0x00001000  -
0x68FC9000  0x00005800  /
0x68FCE800  0x00001000  -
0x68FCF800  0x00010800  +
0x68FE0000  0x00001000  -
0x68FE1000  0x00005800  /
0x68FE6800  0x00001000  -
0x68FE7800  0x00010800  +
0x68FF8000  0x00001000  -
0x68FF9000  0x00005800  /
0x68FFE800  0x00001000  -
0x68FFF800  0x00010800  +
0x69010000  0x00001000  -
0x69011000  0x00006000  /
0x69017000  0x00001000  -
0x69018000  0x00008000  +
0x69020000  0x00001000  -
0x69021000  0x00006000  /
0x69027000  0x00001000  -
0x69028000  0x00010000  +
0x69038000  0x00001000  -
0x69039000  0x00002800  /
0x6903B800  0x00001000  -
0x6903C800  0x00000800  +
0x6903D000  0x00000800  -
0x6903D800  0x00000800  +
0x6903E000  0x00000800  -
0x6903E800  0x00000800  +
0x6903F000  0x00000800  -
0x6903F800  0x00010800  +
0x69050000  0x00000800  -
0x69050800  0x00000800  +
0x69051000  0x00000800  -
0x69051800  0x00000800  +
0x69052000  0x00000800  -
0x69052800  0x00000800  +
0x69053000  0x00000800  -
0x69053800  0x00000800  +
0x69054000  0x00000800  -
0x69054800  0x00000800  +
0x69055000  0x00000800  -
0x69055800  0x00000800  +
0x69056000  0x00000800  -
0x69056800  0x00000800  +
0x69057000  0x00000800  -
0x69057800  0x00010800  +
0x69068000  0x00000800  -
0x69068800  0x00000800  +
0x69069000  0x00000800  -
0x69069800  0x00000800  +
0x6906A000  0x00000800  -
0x6906A800  0x00000800  +
0x6906B000  0x00000800  -
0x6906B800  0x00000800  +
0x6906C000  0x00000800  -
0x6906C800  0x00000800  +
0x6906D000  0x00000800  -
0x6906D800  0x0002B000  +
0x69098800  0x00000800  -
0x69099000  0x00000800  +
0x69099800  0x00000800  -
0x6909A000  0x00000800  +
0x6909A800  0x00000800  -
0x6909B000  0x00000800  +
0x6909B800  0x00000800  -
0x6909C000  0x00000800  +
0x6909C800  0x00000800  -
0x6909D000  0x00000800  +
0x6909D800  0x00000800  -
0x6909E000  0x00000800  +
0x6909E800  0x00000800  -
0x6909F000  0x00000800  +
0x6909F800  0x00000800  -
0x690A0000  0x00010800  +
0x690B0800  0x00000800  -
0x690B1000  0x00000800  +
0x690B1800  0x00000800  -
0x690B2000  0x00000800  +
0x690B2800  0x00000800  -
0x690B3000  0x00000800  +
0x690B3800  0x00000800  -
0x690B4000  0x00000800  +
0x690B4800  0x00000800  -
0x690B5000  0x00000800  +
0x690B5800  0x00000800  -
0x690B6000  0x00000800  +
0x690B6800  0x00000800  -
0x690B7000  0x00000800  +
0x690B7800  0x00000800  -
0x690B8000  0x00020000  +
0x690D8000  0x00000800  -
0x690D8800  0x00000800  +
0x690D9000  0x00000800  -
0x690D9800  0x00000800  +
0x690DA000  0x00000800  -
0x690DA800  0x00000800  +
0x690DB000  0x00000800  -
0x690DB800  0x00000800  +
0x690DC000  0x00000800  -
0x690DC800  0x00000800  +
0x690DD000  0x00000800  -
0x690DD800  0x00000800  +
0x690DE000  0x00000800  -
0x690DE800  0x00000800  +
0x690DF000  0x00000800  -
0x690DF800  0x00010800  +
0x690F0000  0x00000800  -
0x690F0800  0x00000800  +
0x690F1000  0x00000800  -
0x690F1800  0x00000800  +
0x690F2000  0x00000800  -
0x690F2800  0x00000800  +
0x690F3000  0x00000800  -
0x690F3800  0x00000800  +
0x690F4000  0x00000800  -
0x690F4800  0x00000800  +
0x690F5000  0x00000800  -
0x690F5800  0x00000800  +
0x690F6000  0x00000800  -
0x690F6800  0x00000800  +
0x690F7000  0x00000800  -
0x690F7800  0x00010800  +
0x69108000  0x00000800  -
0x69108800  0x00000800  +
0x69109000  0x00000800  -
0x69109800  0x00000800  +
0x6910A000  0x00000800  -
0x6910A800  0x00000800  +
0x6910B000  0x00000800  -
0x6910B800  0x00000800  +
0x6910C000  0x00000800  -
0x6910C800  0x00000800  +
0x6910D000  0x00000800  -
0x6910D800  0x00000800  +
0x6910E000  0x00000800  -
0x6910E800  0x00000800  +
0x6910F000  0x00000800  -
0x6910F800  0x00010800  +
0x69120000  0x00000800  -
0x69120800  0x00000800  +
0x69121000  0x00000800  -
0x69121800  0x00000800  +
0x69122000  0x00000800  -
0x69122800  0x00000800  +
0x69123000  0x00000800  -
0x69123800  0x00000800  +
