# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -b 2048 -d -v /dev/sr0 image.iso image.log
# Start time:   2015-10-15 10:34:38
# Current time: 2015-10-15 11:43:51
# Scraping failed blocks... (forwards)
# current_pos  current_status
0xEAFDD000     /
#      pos        size  status
0x00000000  0x67E40000  +
0x67E40000  0x00020000  -
0x67E60000  0x00090000  +
0x67EF0000  0x00002000  -
0x67EF2000  0x00000800  +
0x67EF2800  0x00000800  -
0x67EF3000  0x00000800  +
0x67EF3800  0x00000800  -
0x67EF4000  0x00000800  +
0x67EF4800  0x00000800  -
0x67EF5000  0x00000800  +
0x67EF5800  0x00000800  -
0x67EF6000  0x00000800  +
0x67EF6800  0x00000800  -
0x67EF7000  0x00000800  +
0x67EF7800  0x00008800  -
0x67F00000  0x00010000  +
0x67F10000  0x0000A000  -
0x67F1A000  0x00000800  +
0x67F1A800  0x00000800  -
0x67F1B000  0x00000800  +
0x67F1B800  0x00000800  -
0x67F1C000  0x00000800  +
0x67F1C800  0x00000800  -
0x67F1D000  0x00000800  +
0x67F1D800  0x00000800  -
0x67F1E000  0x00000800  +
0x67F1E800  0x00000800  -
0x67F1F000  0x00000800  +
0x67F1F800  0x00000800  -
0x67F20000  0x00000800  +
0x67F20800  0x00000800  -
0x67F21000  0x00000800  +
0x67F21800  0x00000800  -
0x67F22000  0x00000800  +
0x67F22800  0x00000800  -
0x67F23000  0x00000800  +
0x67F23800  0x00000800  -
0x67F24000  0x00000800  +
0x67F24800  0x00000800  -
0x67F25000  0x00000800  +
0x67F25800  0x00000800  -
0x67F26000  0x00000800  +
0x67F26800  0x00000800  -
0x67F27000  0x00000800  +
0x67F27800  0x00008800  -
0x67F30000  0x00010000  +
0x67F40000  0x00009000  -
0x67F49000  0x00008000  +
0x67F51000  0x00000800  -
0x67F51800  0x00000800  +
0x67F52000  0x00000800  -
0x67F52800  0x00000800  +
0x67F53000  0x00000800  -
0x67F53800  0x00000800  +
0x67F54000  0x00000800  -
0x67F54800  0x00000800  +
0x67F55000  0x00000800  -
0x67F55800  0x00000800  +
0x67F56000  0x00000800  -
0x67F56800  0x00000800  +
0x67F57000  0x00000800  -
0x67F57800  0x00000800  +
0x67F58000  0x00008000  -
0x67F60000  0x00010000  +
0x67F70000  0x00008800  -
0x67F78800  0x00000800  +
0x67F79000  0x00000800  -
0x67F79800  0x00000800  +
0x67F7A000  0x00000800  -
0x67F7A800  0x00000800  +
0x67F7B000  0x00000800  -
0x67F7B800  0x00000800  +
0x67F7C000  0x00000800  -
0x67F7C800  0x00000800  +
0x67F7D000  0x00000800  -
0x67F7D800  0x00000800  +
0x67F7E000  0x00000800  -
0x67F7E800  0x00000800  +
0x67F7F000  0x00000800  -
0x67F7F800  0x00000800  +
0x67F80000  0x0000A800  -
0x67F8A800  0x00000800  +
0x67F8B000  0x00000800  -
0x67F8B800  0x00000800  +
0x67F8C000  0x00000800  -
0x67F8C800  0x00000800  +
0x67F8D000  0x00000800  -
0x67F8D800  0x00000800  +
0x67F8E000  0x00000800  -
0x67F8E800  0x00000800  +
0x67F8F000  0x00001000  -
0x67F90000  0x00008000  +
0x67F98000  0x00008000  -
0x67FA0000  0x00010000  +
0x67FB0000  0x00008000  -
0x67FB8000  0x00001000  +
0x67FB9000  0x00000800  -
0x67FB9800  0x00000800  +
0x67FBA000  0x00000800  -
0x67FBA800  0x00000800  +
0x67FBB000  0x00000800  -
0x67FBB800  0x00000800  +
0x67FBC000  0x00000800  -
0x67FBC800  0x00000800  +
0x67FBD000  0x00000800  -
0x67FBD800  0x00000800  +
0x67FBE000  0x00000800  -
0x67FBE800  0x00000800  +
0x67FBF000  0x00001000  -
0x67FC0000  0x00008000  +
0x67FC8000  0x00008800  -
0x67FD0800  0x00000800  +
0x67FD1000  0x00000800  -
0x67FD1800  0x00000800  +
0x67FD2000  0x00000800  -
0x67FD2800  0x00000800  +
0x67FD3000  0x00000800  -
0x67FD3800  0x00000800  +
0x67FD4000  0x00000800  -
0x67FD4800  0x00000800  +
0x67FD5000  0x00000800  -
0x67FD5800  0x00000800  +
0x67FD6000  0x00000800  -
0x67FD6800  0x00000800  +
0x67FD7000  0x00000800  -
0x67FD7800  0x00000800  +
0x67FD8000  0x00000800  -
0x67FD8800  0x00000800  +
0x67FD9000  0x00000800  -
0x67FD9800  0x00000800  +
0x67FDA000  0x00000800  -
0x67FDA800  0x00000800  +
0x67FDB000  0x00000800  -
0x67FDB800  0x00000800  +
0x67FDC000  0x00000800  -
0x67FDC800  0x00000800  +
0x67FDD000  0x00000800  -
0x67FDD800  0x00000800  +
0x67FDE000  0x00000800  -
0x67FDE800  0x00000800  +
0x67FDF000  0x00000800  -
0x67FDF800  0x00000800  +
0x67FE0000  0x00008800  -
0x67FE8800  0x00000800  +
0x67FE9000  0x00000800  -
0x67FE9800  0x00000800  +
0x67FEA000  0x00000800  -
0x67FEA800  0x00000800  +
0x67FEB000  0x00000800  -
0x67FEB800  0x00000800  +
0x67FEC000  0x00000800  -
0x67FEC800  0x00000800  +
0x67FED000  0x00000800  -
